column_a,year,month,dayofmonth,dayofweek,deptime,crsdeptime,arrtime,crsarrtime,uniquecarrier,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,dest,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,yearmonth
322517  ,2008,1    ,31        ,4        ,1432.0 ,1421      ,1705.0 ,1648      ,DL           ,1159     ,N664DN ,93.0             ,87.0          ,65.0   ,17.0    ,11.0    ,MSY   ,ATL ,425     ,13.0  ,15.0   ,false    ,N               ,false   ,6.0         ,5.0         ,6.0     ,0.0          ,0.0              ,2008-01
322520  ,2008,1    ,31        ,4        ,2135.0 ,2115      ,2306.0 ,2251      ,DL           ,1168     ,N974DL ,91.0             ,96.0          ,63.0   ,15.0    ,20.0    ,ATL   ,RIC ,481     ,5.0   ,23.0   ,false    ,N               ,false   ,15.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
322525  ,2008,1    ,31        ,4        ,2003.0 ,1940      ,2152.0 ,2129      ,DL           ,1174     ,N981DL ,109.0            ,109.0         ,83.0   ,23.0    ,23.0    ,CVG   ,BDL ,661     ,8.0   ,18.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,23.0             ,2008-01
322529  ,2008,1    ,31        ,4        ,1713.0 ,1706      ,2224.0 ,2152      ,DL           ,1180     ,N685DA ,191.0            ,166.0         ,167.0  ,32.0    ,7.0     ,DEN   ,ATL ,1199    ,12.0  ,12.0   ,false    ,N               ,false   ,0.0         ,0.0         ,25.0    ,0.0          ,7.0              ,2008-01
322530  ,2008,1    ,31        ,4        ,2317.0 ,2242      ,38.0   ,4         ,DL           ,1180     ,N685DA ,81.0             ,82.0          ,61.0   ,34.0    ,35.0    ,ATL   ,TPA ,406     ,7.0   ,13.0   ,false    ,N               ,false   ,3.0         ,0.0         ,0.0     ,0.0          ,31.0             ,2008-01
322531  ,2008,1    ,31        ,4        ,1545.0 ,1520      ,1631.0 ,1623      ,DL           ,1181     ,N908DA ,106.0            ,123.0         ,89.0   ,8.0     ,25.0    ,SLC   ,LAX ,590     ,6.0   ,11.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322535  ,2008,1    ,31        ,4        ,1708.0 ,1650      ,2055.0 ,2040      ,DL           ,1185     ,N140LL ,347.0            ,350.0         ,318.0  ,15.0    ,18.0    ,LAX   ,OGG ,2486    ,8.0   ,21.0   ,false    ,N               ,false   ,15.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
322536  ,2008,1    ,31        ,4        ,2237.0 ,2158      ,2309.0 ,2251      ,DL           ,1189     ,N917DE ,92.0             ,113.0         ,67.0   ,18.0    ,39.0    ,ATL   ,STL ,483     ,6.0   ,19.0   ,false    ,N               ,false   ,18.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
25153   ,2008,1    ,10        ,4        ,1418.0 ,1410      ,1536.0 ,1530      ,WN           ,2907     ,N682SW ,78.0             ,80.0          ,61.0   ,6.0     ,8.0     ,SJC   ,LAS ,386     ,4.0   ,13.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322541  ,2008,1    ,31        ,4        ,1707.0 ,1653      ,1846.0 ,1820      ,DL           ,1195     ,N682DA ,99.0             ,87.0          ,76.0   ,26.0    ,14.0    ,RDU   ,ATL ,356     ,7.0   ,16.0   ,false    ,N               ,false   ,3.0         ,0.0         ,12.0    ,0.0          ,11.0             ,2008-01
322542  ,2008,1    ,31        ,4        ,1500.0 ,1430      ,1623.0 ,1557      ,DL           ,1197     ,N831MH ,83.0             ,87.0          ,60.0   ,26.0    ,30.0    ,ATL   ,MCO ,403     ,4.0   ,19.0   ,false    ,N               ,false   ,26.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
322544  ,2008,1    ,31        ,4        ,1953.0 ,1847      ,2131.0 ,2029      ,DL           ,1201     ,N658DL ,98.0             ,102.0         ,78.0   ,62.0    ,66.0    ,ATL   ,PBI ,545     ,5.0   ,15.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,62.0             ,2008-01
322553  ,2008,1    ,31        ,4        ,2016.0 ,1955      ,2254.0 ,2247      ,DL           ,1210     ,N930DL ,158.0            ,172.0         ,134.0  ,7.0     ,21.0    ,RSW   ,LGA ,1080    ,11.0  ,13.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322564  ,2008,1    ,31        ,4        ,842.0  ,835       ,1030.0 ,1036      ,DL           ,1220     ,N933DL ,108.0            ,121.0         ,87.0   ,-6.0    ,7.0     ,ATL   ,DTW ,594     ,6.0   ,15.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322571  ,2008,1    ,31        ,4        ,737.0  ,715       ,837.0  ,824       ,DL           ,1228     ,N942DL ,60.0             ,69.0          ,43.0   ,13.0    ,22.0    ,TLH   ,ATL ,223     ,8.0   ,9.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322579  ,2008,1    ,31        ,4        ,2223.0 ,2215      ,544.0  ,544       ,DL           ,1236     ,N380DA ,261.0            ,269.0         ,235.0  ,0.0     ,8.0     ,OAK   ,ATL ,2130    ,7.0   ,19.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322586  ,2008,1    ,31        ,4        ,1913.0 ,1900      ,2057.0 ,2052      ,DL           ,1243     ,N635DL ,104.0            ,112.0         ,87.0   ,5.0     ,13.0    ,ATL   ,FLL ,581     ,5.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322588  ,2008,1    ,31        ,4        ,1337.0 ,1325      ,1439.0 ,1432      ,DL           ,1244     ,N6712B ,62.0             ,67.0          ,46.0   ,7.0     ,12.0    ,ATL   ,JAX ,270     ,4.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322589  ,2008,1    ,31        ,4        ,2220.0 ,2210      ,531.0  ,537       ,DL           ,1245     ,N639DL ,251.0            ,267.0         ,231.0  ,-6.0    ,10.0    ,SJC   ,ATL ,2116    ,9.0   ,11.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
1362    ,2008,1    ,3         ,4        ,1122.0 ,1105      ,1733.0 ,1725      ,WN           ,236      ,N735SA ,251.0            ,260.0         ,231.0  ,8.0     ,17.0    ,PHX   ,BWI ,1999    ,5.0   ,15.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25154   ,2008,1    ,10        ,4        ,1846.0 ,1840      ,1957.0 ,2000      ,WN           ,3142     ,N797MX ,71.0             ,80.0          ,57.0   ,-3.0    ,6.0     ,SJC   ,LAS ,386     ,5.0   ,9.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322592  ,2008,1    ,31        ,4        ,1923.0 ,1855      ,2204.0 ,2114      ,DL           ,1248     ,N956DL ,101.0            ,79.0          ,73.0   ,50.0    ,28.0    ,MSY   ,ATL ,425     ,15.0  ,13.0   ,false    ,N               ,false   ,0.0         ,0.0         ,22.0    ,0.0          ,28.0             ,2008-01
322593  ,2008,1    ,31        ,4        ,2215.0 ,2145      ,31.0   ,22        ,DL           ,1251     ,N136DL ,316.0            ,337.0         ,286.0  ,9.0     ,30.0    ,ATL   ,SEA ,2182    ,5.0   ,25.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322594  ,2008,1    ,31        ,4        ,1906.0 ,1740      ,2156.0 ,2010      ,DL           ,1252     ,N918DL ,110.0            ,90.0          ,78.0   ,106.0   ,86.0    ,MSY   ,ATL ,425     ,14.0  ,18.0   ,false    ,N               ,false   ,9.0         ,0.0         ,20.0    ,0.0          ,77.0             ,2008-01
322595  ,2008,1    ,31        ,4        ,2115.0 ,2059      ,2305.0 ,2304      ,DL           ,1252     ,N921DL ,110.0            ,125.0         ,84.0   ,1.0     ,16.0    ,ATL   ,ROC ,749     ,5.0   ,21.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322598  ,2008,1    ,31        ,4        ,1228.0 ,1218      ,1311.0 ,1315      ,DL           ,1257     ,N917DL ,43.0             ,57.0          ,27.0   ,-4.0    ,10.0    ,ATL   ,GSP ,153     ,4.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322607  ,2008,1    ,31        ,4        ,2126.0 ,2056      ,2228.0 ,2158      ,DL           ,1269     ,N914DL ,62.0             ,62.0          ,42.0   ,30.0    ,30.0    ,ATL   ,CHS ,259     ,6.0   ,14.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,30.0             ,2008-01
322612  ,2008,1    ,31        ,4        ,2233.0 ,2121      ,2342.0 ,2243      ,DL           ,1274     ,N958DL ,69.0             ,82.0          ,54.0   ,59.0    ,72.0    ,ATL   ,DAB ,366     ,3.0   ,12.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,59.0             ,2008-01
322614  ,2008,1    ,31        ,4        ,2019.0 ,2000      ,2152.0 ,2136      ,DL           ,1279     ,N662DN ,273.0            ,276.0         ,246.0  ,16.0    ,19.0    ,ATL   ,LAS ,1747    ,8.0   ,19.0   ,false    ,N               ,false   ,15.0        ,0.0         ,0.0     ,0.0          ,1.0              ,2008-01
322625  ,2008,1    ,31        ,4        ,2251.0 ,2120      ,7.0    ,2242      ,DL           ,1291     ,N918DL ,76.0             ,82.0          ,51.0   ,85.0    ,91.0    ,ATL   ,RDU ,356     ,5.0   ,20.0   ,false    ,N               ,false   ,9.0         ,0.0         ,0.0     ,0.0          ,76.0             ,2008-01
322636  ,2008,1    ,31        ,4        ,1817.0 ,1807      ,2012.0 ,1925      ,DL           ,1404     ,N628DL ,115.0            ,78.0          ,75.0   ,47.0    ,10.0    ,JAX   ,ATL ,270     ,18.0  ,22.0   ,false    ,N               ,false   ,10.0        ,0.0         ,37.0    ,0.0          ,0.0              ,2008-01
25156   ,2008,1    ,10        ,4        ,1915.0 ,1855      ,2021.0 ,2005      ,WN           ,361      ,N604SW ,66.0             ,70.0          ,50.0   ,16.0    ,20.0    ,SJC   ,LAX ,308     ,6.0   ,10.0   ,false    ,N               ,false   ,0.0         ,0.0         ,7.0     ,0.0          ,9.0              ,2008-01
322642  ,2008,1    ,31        ,4        ,2245.0 ,2159      ,2400.0 ,2326      ,DL           ,1409     ,N956DL ,135.0            ,147.0         ,114.0  ,34.0    ,46.0    ,ATL   ,DFW ,732     ,6.0   ,15.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,34.0             ,2008-01
322646  ,2008,1    ,31        ,4        ,1758.0 ,1710      ,2326.0 ,2244      ,DL           ,1413     ,N666DN ,208.0            ,214.0         ,183.0  ,42.0    ,48.0    ,SLC   ,ATL ,1589    ,10.0  ,15.0   ,false    ,N               ,false   ,30.0        ,0.0         ,0.0     ,0.0          ,12.0             ,2008-01
322656  ,2008,1    ,31        ,4        ,2119.0 ,2010      ,2140.0 ,2029      ,DL           ,1421     ,N943DL ,81.0             ,79.0          ,61.0   ,71.0    ,69.0    ,ATL   ,PNS ,272     ,5.0   ,15.0   ,false    ,N               ,false   ,32.0        ,0.0         ,2.0     ,0.0          ,37.0             ,2008-01
322657  ,2008,1    ,31        ,4        ,2202.0 ,2120      ,13.0   ,2325      ,DL           ,1423     ,N67171 ,311.0            ,305.0         ,273.0  ,48.0    ,42.0    ,ATL   ,LAX ,1946    ,12.0  ,26.0   ,false    ,N               ,false   ,42.0        ,0.0         ,6.0     ,0.0          ,0.0              ,2008-01
322658  ,2008,1    ,31        ,4        ,2217.0 ,2139      ,19.0   ,2358      ,DL           ,1424     ,N629DL ,122.0            ,139.0         ,102.0  ,21.0    ,38.0    ,ATL   ,BDL ,859     ,7.0   ,13.0   ,false    ,N               ,false   ,19.0        ,0.0         ,0.0     ,0.0          ,2.0              ,2008-01
322660  ,2008,1    ,31        ,4        ,1453.0 ,1445      ,1614.0 ,1603      ,DL           ,1425     ,N682DA ,81.0             ,78.0          ,47.0   ,11.0    ,8.0     ,ATL   ,RDU ,356     ,7.0   ,27.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322665  ,2008,1    ,31        ,4        ,2334.0 ,2240      ,14.0   ,2314      ,DL           ,1429     ,N391DA ,100.0            ,94.0          ,80.0   ,60.0    ,54.0    ,ATL   ,MSY ,425     ,6.0   ,14.0   ,false    ,N               ,false   ,9.0         ,0.0         ,6.0     ,0.0          ,45.0             ,2008-01
322668  ,2008,1    ,31        ,4        ,1821.0 ,1720      ,2053.0 ,1921      ,DL           ,1432     ,N129DL ,152.0            ,121.0         ,121.0  ,92.0    ,61.0    ,FLL   ,ATL ,581     ,11.0  ,20.0   ,false    ,N               ,false   ,0.0         ,0.0         ,31.0    ,0.0          ,61.0             ,2008-01
322672  ,2008,1    ,31        ,4        ,2045.0 ,2020      ,2245.0 ,2242      ,DL           ,1436     ,N693DL ,120.0            ,142.0         ,88.0   ,3.0     ,25.0    ,ATL   ,EWR ,745     ,10.0  ,22.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322675  ,2008,1    ,31        ,4        ,2301.0 ,2245      ,17.0   ,2356      ,DL           ,1439     ,N672DL ,76.0             ,71.0          ,47.0   ,21.0    ,16.0    ,ATL   ,JAX ,270     ,6.0   ,23.0   ,false    ,N               ,false   ,16.0        ,0.0         ,5.0     ,0.0          ,0.0              ,2008-01
25164   ,2008,1    ,10        ,4        ,2051.0 ,2040      ,2158.0 ,2150      ,WN           ,2285     ,N635SW ,67.0             ,70.0          ,49.0   ,8.0     ,11.0    ,SJC   ,LAX ,308     ,9.0   ,9.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322676  ,2008,1    ,31        ,4        ,1456.0 ,1445      ,1715.0 ,1659      ,DL           ,1440     ,N942DL ,79.0             ,74.0          ,57.0   ,16.0    ,11.0    ,JAN   ,ATL ,341     ,11.0  ,11.0   ,false    ,N               ,false   ,1.0         ,0.0         ,5.0     ,0.0          ,10.0             ,2008-01
322681  ,2008,1    ,31        ,4        ,2037.0 ,2013      ,       ,2024      ,DL           ,1446     ,N983DL ,                 ,71.0          ,       ,        ,24.0    ,ATL   ,BNA ,214     ,      ,18.0   ,false    ,N               ,true    ,            ,            ,        ,             ,                 ,2008-01
322682  ,2008,1    ,31        ,4        ,2132.0 ,1855      ,34.0   ,2155      ,DL           ,1447     ,N940DL ,122.0            ,120.0         ,100.0  ,159.0   ,157.0   ,DFW   ,ATL ,732     ,6.0   ,16.0   ,false    ,N               ,false   ,136.0       ,0.0         ,2.0     ,0.0          ,21.0             ,2008-01
322685  ,2008,1    ,31        ,4        ,1926.0 ,1915      ,2054.0 ,2047      ,DL           ,1450     ,N988DL ,88.0             ,92.0          ,61.0   ,7.0     ,11.0    ,ATL   ,RIC ,481     ,6.0   ,21.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322687  ,2008,1    ,31        ,4        ,2048.0 ,2017      ,2234.0 ,2212      ,DL           ,1452     ,N121DE ,106.0            ,115.0         ,84.0   ,22.0    ,31.0    ,ATL   ,FLL ,581     ,4.0   ,18.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,22.0             ,2008-01
322690  ,2008,1    ,31        ,4        ,1615.0 ,1605      ,1630.0 ,1623      ,DL           ,1455     ,N937DL ,75.0             ,78.0          ,56.0   ,7.0     ,10.0    ,ATL   ,PNS ,272     ,4.0   ,15.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322707  ,2008,1    ,31        ,4        ,1735.0 ,1725      ,1935.0 ,1913      ,DL           ,1473     ,N941DL ,120.0            ,108.0         ,103.0  ,22.0    ,10.0    ,PIT   ,ATL ,526     ,12.0  ,5.0    ,false    ,N               ,false   ,10.0        ,0.0         ,12.0    ,0.0          ,0.0              ,2008-01
322708  ,2008,1    ,31        ,4        ,2331.0 ,2145      ,36.0   ,2251      ,DL           ,1474     ,N951DL ,125.0            ,126.0         ,88.0   ,105.0   ,106.0   ,ATL   ,ORD ,606     ,11.0  ,26.0   ,false    ,N               ,false   ,0.0         ,0.0         ,105.0   ,0.0          ,0.0              ,2008-01
322717  ,2008,1    ,31        ,4        ,1747.0 ,1732      ,1933.0 ,1932      ,DL           ,1481     ,N6712B ,286.0            ,300.0         ,262.0  ,1.0     ,15.0    ,ATL   ,SNA ,1919    ,9.0   ,15.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322723  ,2008,1    ,31        ,4        ,2238.0 ,2230      ,14.0   ,5         ,DL           ,1487     ,N642DL ,96.0             ,95.0          ,81.0   ,9.0     ,8.0     ,ATL   ,PBI ,545     ,3.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25166   ,2008,1    ,10        ,4        ,1332.0 ,1325      ,1430.0 ,1435      ,WN           ,2633     ,N687SW ,58.0             ,70.0          ,46.0   ,-5.0    ,7.0     ,SJC   ,LAX ,308     ,4.0   ,8.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322731  ,2008,1    ,31        ,4        ,2150.0 ,2055      ,2324.0 ,2242      ,DL           ,1499     ,N679DA ,94.0             ,107.0         ,79.0   ,42.0    ,55.0    ,ATL   ,PBI ,545     ,6.0   ,9.0    ,false    ,N               ,false   ,19.0        ,0.0         ,0.0     ,0.0          ,23.0             ,2008-01
322735  ,2008,1    ,31        ,4        ,2143.0 ,2130      ,2312.0 ,2306      ,DL           ,1503     ,N994DL ,89.0             ,96.0          ,64.0   ,6.0     ,13.0    ,ATL   ,ORF ,516     ,3.0   ,22.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322736  ,2008,1    ,31        ,4        ,1110.0 ,1058      ,1426.0 ,1409      ,DL           ,1504     ,N990DL ,136.0            ,131.0         ,110.0  ,17.0    ,12.0    ,SAT   ,ATL ,874     ,13.0  ,13.0   ,false    ,N               ,false   ,0.0         ,0.0         ,5.0     ,0.0          ,12.0             ,2008-01
322741  ,2008,1    ,31        ,4        ,1651.0 ,1625      ,2231.0 ,2152      ,DL           ,1508     ,N684DA ,220.0            ,207.0         ,184.0  ,39.0    ,26.0    ,PHX   ,ATL ,1587    ,15.0  ,21.0   ,false    ,N               ,false   ,0.0         ,0.0         ,13.0    ,0.0          ,26.0             ,2008-01
322742  ,2008,1    ,31        ,4        ,1313.0 ,1305      ,1614.0 ,1559      ,DL           ,1509     ,N904DA ,121.0            ,114.0         ,103.0  ,15.0    ,8.0     ,SNA   ,SLC ,588     ,5.0   ,13.0   ,false    ,N               ,false   ,0.0         ,0.0         ,7.0     ,0.0          ,8.0              ,2008-01
322743  ,2008,1    ,31        ,4        ,1853.0 ,1652      ,2307.0 ,2057      ,DL           ,1509     ,N913DN ,194.0            ,185.0         ,167.0  ,130.0   ,121.0   ,SLC   ,ORD ,1249    ,10.0  ,17.0   ,false    ,N               ,false   ,0.0         ,0.0         ,98.0    ,0.0          ,32.0             ,2008-01
322744  ,2008,1    ,31        ,4        ,2207.0 ,2200      ,620.0  ,613       ,DL           ,1510     ,N37700 ,313.0            ,313.0         ,280.0  ,7.0     ,7.0     ,LAX   ,BDL ,2527    ,10.0  ,23.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322746  ,2008,1    ,31        ,4        ,1104.0 ,1054      ,1219.0 ,1212      ,DL           ,1512     ,N941DL ,75.0             ,78.0          ,54.0   ,7.0     ,10.0    ,ATL   ,DAB ,366     ,3.0   ,18.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322765  ,2008,1    ,31        ,4        ,1507.0 ,1500      ,1705.0 ,1653      ,DL           ,1531     ,N679DA ,118.0            ,113.0         ,87.0   ,12.0    ,7.0     ,ATL   ,MIA ,595     ,5.0   ,26.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322767  ,2008,1    ,31        ,4        ,2015.0 ,1915      ,2146.0 ,2036      ,DL           ,1534     ,N910DL ,91.0             ,81.0          ,64.0   ,70.0    ,60.0    ,JAX   ,ATL ,270     ,15.0  ,12.0   ,false    ,N               ,false   ,0.0         ,0.0         ,28.0    ,0.0          ,42.0             ,2008-01
25167   ,2008,1    ,10        ,4        ,1537.0 ,1515      ,1647.0 ,1625      ,WN           ,3048     ,N621SW ,70.0             ,70.0          ,47.0   ,22.0    ,22.0    ,SJC   ,LAX ,308     ,6.0   ,17.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,22.0             ,2008-01
322769  ,2008,1    ,31        ,4        ,1424.0 ,1410      ,1618.0 ,1608      ,DL           ,1538     ,N902DA ,174.0            ,178.0         ,157.0  ,10.0    ,14.0    ,MSP   ,SLC ,991     ,5.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322771  ,2008,1    ,31        ,4        ,2258.0 ,2142      ,21.0   ,2324      ,DL           ,1540     ,N917DL ,203.0            ,222.0         ,186.0  ,57.0    ,76.0    ,ATL   ,ABQ ,1269    ,7.0   ,10.0   ,false    ,N               ,false   ,49.0        ,0.0         ,0.0     ,0.0          ,8.0              ,2008-01
322777  ,2008,1    ,31        ,4        ,1440.0 ,1430      ,2052.0 ,1959      ,DL           ,1548     ,N629DL ,252.0            ,209.0         ,203.0  ,53.0    ,10.0    ,JAC   ,ATL ,1572    ,7.0   ,42.0   ,false    ,N               ,false   ,10.0        ,0.0         ,43.0    ,0.0          ,0.0              ,2008-01
322780  ,2008,1    ,31        ,4        ,1235.0 ,1150      ,2007.0 ,1926      ,DL           ,1552     ,N3754A ,272.0            ,276.0         ,252.0  ,41.0    ,45.0    ,SJC   ,ATL ,2116    ,9.0   ,11.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,41.0             ,2008-01
322781  ,2008,1    ,31        ,4        ,2112.0 ,2035      ,2209.0 ,2153      ,DL           ,1552     ,N3739  ,57.0             ,78.0          ,37.0   ,16.0    ,37.0    ,ATL   ,CLT ,227     ,4.0   ,16.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,16.0             ,2008-01
322783  ,2008,1    ,31        ,4        ,933.0  ,840       ,1153.0 ,1100      ,DL           ,1553     ,N3754A ,320.0            ,320.0         ,300.0  ,53.0    ,53.0    ,ATL   ,SJC ,2116    ,5.0   ,15.0   ,false    ,N               ,false   ,53.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
322784  ,2008,1    ,31        ,4        ,2010.0 ,1910      ,2147.0 ,2045      ,DL           ,1554     ,N134DL ,97.0             ,95.0          ,73.0   ,62.0    ,60.0    ,MCO   ,ATL ,403     ,12.0  ,12.0   ,false    ,N               ,false   ,0.0         ,0.0         ,62.0    ,0.0          ,0.0              ,2008-01
322785  ,2008,1    ,31        ,4        ,713.0  ,700       ,921.0  ,851       ,DL           ,1556     ,N641DL ,308.0            ,291.0         ,283.0  ,30.0    ,13.0    ,ATL   ,LAX ,1946    ,11.0  ,14.0   ,false    ,N               ,false   ,13.0        ,0.0         ,17.0    ,0.0          ,0.0              ,2008-01
322787  ,2008,1    ,31        ,4        ,1655.0 ,1617      ,1817.0 ,1700      ,DL           ,1558     ,N918DL ,142.0            ,103.0         ,112.0  ,77.0    ,38.0    ,ATL   ,MSY ,425     ,8.0   ,22.0   ,false    ,N               ,false   ,35.0        ,0.0         ,39.0    ,0.0          ,3.0              ,2008-01
322791  ,2008,1    ,31        ,4        ,2222.0 ,2135      ,2240.0 ,2159      ,DL           ,1561     ,N903DE ,78.0             ,84.0          ,51.0   ,41.0    ,47.0    ,ATL   ,JAN ,341     ,5.0   ,22.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,41.0             ,2008-01
25175   ,2008,1    ,10        ,4        ,1631.0 ,1610      ,1733.0 ,1720      ,WN           ,780      ,N479WN ,62.0             ,70.0          ,51.0   ,13.0    ,21.0    ,SJC   ,ONT ,333     ,3.0   ,8.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322805  ,2008,1    ,31        ,4        ,2125.0 ,2115      ,2304.0 ,2304      ,DL           ,1575     ,N649DL ,99.0             ,109.0         ,84.0   ,0.0     ,10.0    ,ATL   ,MIA ,595     ,5.0   ,10.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322811  ,2008,1    ,31        ,4        ,1923.0 ,1910      ,2303.0 ,2301      ,DL           ,1581     ,N654DL ,340.0            ,351.0         ,290.0  ,2.0     ,13.0    ,JFK   ,SLC ,1989    ,7.0   ,43.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322818  ,2008,1    ,31        ,4        ,2229.0 ,2159      ,54.0   ,21        ,DL           ,1591     ,N610DL ,325.0            ,322.0         ,304.0  ,33.0    ,30.0    ,ATL   ,SFO ,2139    ,4.0   ,17.0   ,false    ,N               ,false   ,3.0         ,0.0         ,3.0     ,0.0          ,27.0             ,2008-01
322821  ,2008,1    ,31        ,4        ,1614.0 ,1605      ,1710.0 ,1630      ,DL           ,1596     ,N914DN ,116.0            ,85.0          ,68.0   ,40.0    ,9.0     ,ATL   ,MEM ,332     ,9.0   ,39.0   ,false    ,N               ,false   ,0.0         ,0.0         ,31.0    ,0.0          ,9.0              ,2008-01
322824  ,2008,1    ,31        ,4        ,1236.0 ,1230      ,1419.0 ,1417      ,DL           ,1599     ,N656DL ,103.0            ,107.0         ,75.0   ,2.0     ,6.0     ,ATL   ,RSW ,515     ,6.0   ,22.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
322826  ,2008,1    ,31        ,4        ,2136.0 ,2119      ,2251.0 ,2232      ,DL           ,1604     ,N378DA ,75.0             ,73.0          ,50.0   ,19.0    ,17.0    ,SLC   ,BOI ,291     ,8.0   ,17.0   ,false    ,N               ,false   ,0.0         ,0.0         ,2.0     ,0.0          ,17.0             ,2008-01
322828  ,2008,1    ,31        ,4        ,2031.0 ,2005      ,2026.0 ,2003      ,DL           ,1607     ,N937DL ,55.0             ,58.0          ,35.0   ,23.0    ,26.0    ,ATL   ,BHM ,134     ,3.0   ,17.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,23.0             ,2008-01
322840  ,2008,1    ,31        ,4        ,1935.0 ,1920      ,2106.0 ,2046      ,DL           ,1617     ,N900DE ,151.0            ,146.0         ,119.0  ,20.0    ,15.0    ,ATL   ,DFW ,732     ,8.0   ,24.0   ,false    ,N               ,false   ,8.0         ,0.0         ,5.0     ,0.0          ,7.0              ,2008-01
322850  ,2008,1    ,31        ,4        ,753.0  ,705       ,1447.0 ,1423      ,DL           ,1625     ,N3744D ,234.0            ,258.0         ,212.0  ,24.0    ,48.0    ,LAX   ,CVG ,1900    ,5.0   ,17.0   ,false    ,N               ,false   ,24.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
322855  ,2008,1    ,31        ,4        ,1641.0 ,1626      ,2034.0 ,1924      ,DL           ,1634     ,N972DL ,173.0            ,118.0         ,135.0  ,70.0    ,15.0    ,HOU   ,ATL ,696     ,18.0  ,20.0   ,false    ,N               ,false   ,5.0         ,0.0         ,61.0    ,0.0          ,4.0              ,2008-01
25176   ,2008,1    ,10        ,4        ,1903.0 ,1835      ,2005.0 ,1945      ,WN           ,1276     ,N285WN ,62.0             ,70.0          ,48.0   ,20.0    ,28.0    ,SJC   ,ONT ,333     ,5.0   ,9.0    ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,20.0             ,2008-01
